30	6400	5000	1275	15	
57	33650	33920	33994	34077	33970	33864	34061	34107	33981	33883	34676	34564	34590	31650	31640	
58	33632	33912	33963	34053	33955	33864	34032	34088	33967	33873	34636	34481	34549	31594	31601	
59	33610	33902	33965	34054	33959	33856	34021	34068	33952	33867	34614	34513	34577	31614	31612	
60	33612	33891	33963	34046	33952	33834	33985	34037	33915	33876	34596	34463	34511	31570	31581	
61	33601	33884	33947	34021	33935	33842	33984	34040	33912	33859	34586	34481	34567	31590	31617	
62	33587	33864	33936	34012	33918	33825	33963	34037	33877	33858	34574	34450	34532	31558	31566	
63	33576	33861	33933	34017	33905	33824	33967	34012	33861	33872	34581	34378	34468	31498	31498	
64	33571	33842	33918	34012	33903	33813	33941	33993	33847	33858	34560	34434	34496	31557	31555	
65	33562	33834	33924	34010	33881	33793	33930	33980	33814	33860	34562	34372	34422	31468	31482	
66	33550	33835	33884	33992	33890	33787	33917	33973	33835	33870	34528	34390	34454	31504	31496	
67	33541	33829	33906	33982	33880	33789	33931	33969	33790	33846	34526	34360	34450	31461	31462	
68	33548	33815	33889	33972	33886	33759	33916	33963	33791	33865	34507	34318	34401	31436	31434	
69	33549	33802	33897	33993	33882	33755	33922	33962	33786	33876	34508	34366	34426	31485	31470	
70	33539	33811	33894	33988	33857	33754	33905	33962	33777	33870	34498	34346	34388	31433	31416	
71	33539	33799	33905	33990	33881	33740	33919	33942	33766	33876	34497	34369	34447	31481	31488	
72	33540	33800	33883	33995	33871	33739	33919	33950	33772	33892	34483	34336	34412	31437	31451	
73	33547	33804	33898	33984	33880	33687	33910	33977	33762	33914	34477	34394	34451	31484	31495	
74	33560	33809	33912	34004	33884	33697	33931	33970	33787	33935	34487	34290	34340	31385	31379	
75	33560	33802	33913	34000	33908	33699	33933	33978	33779	33936	34528	34337	34391	31444	31440	
76	33566	33815	33921	34018	33898	33718	33956	33979	33783	33983	34534	34381	34439	31478	31480	
77	33572	33821	33923	34029	33903	33727	33966	34011	33782	33998	34514	34406	34462	31523	31511	
78	33580	33819	33937	34029	33918	33752	33975	34018	33805	34004	34515	34372	34428	31448	31453	
79	33594	33824	33971	34047	33930	33778	33998	34017	33815	34028	34552	34376	34467	31476	31472	
80	33593	33831	33954	34044	33935	33796	34004	34044	33807	34051	34580	34361	34448	31467	31452	
81	33608	33835	33975	34048	33953	33806	34032	34064	33829	34070	34560	34433	34468	31482	31514	
82	33632	33841	33973	34065	33963	33844	34024	34067	33854	34101	34584	34459	34483	31542	31540	
